Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_LA1=0.txt
Log File Name:                   LL1=2_LA1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1462389226
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_LA1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
56000	-64.270140	461	2	2	'Z 0 1 Z 0 1 0 1 	D	0.000000	4.933709	2.137883	0.000000	4.933709	2.137883	4.933709	2.137883	0.250000	0.250000	0.250000	0.250000	4.369067	
57000	-65.276675	985	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.709988	0.709988	0.709988	0.709988	0.709988	0.709988	0.709988	0.250000	0.250000	0.250000	0.250000	1.962058	
58000	-65.247594	683	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	6.300562	6.300562	6.300562	6.300562	6.300562	6.300562	6.300562	0.250000	0.250000	0.250000	0.250000	11.907930	
59000	-65.343995	236	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	15.380465	15.380465	15.380465	15.380465	15.380465	15.380465	15.380465	0.250000	0.250000	0.250000	0.250000	11.143787	
60000	-60.671098	748	2	1	'Z 0 0 1 1 1 1 1 	D	0.000000	2.714013	2.714013	6.412910	6.412910	6.412910	6.412910	6.412910	0.250000	0.250000	0.250000	0.250000	6.493629	
61000	-65.344004	69	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.478421	3.478421	3.478421	3.478421	3.478421	3.478421	3.478421	0.250000	0.250000	0.250000	0.250000	5.764096	
62000	-61.611776	951	2	2	'Z 1 Z 0 0 0 0 0 	D	0.000000	0.136903	0.000000	0.601149	0.601149	0.601149	0.601149	0.601149	0.221502	0.274125	0.242300	0.262074	0.440060	
63000	-61.012552	823	2	1	'Z 0 0 0 1 0 1 1 	D	0.000000	2.004799	2.004799	2.004799	4.299297	2.004799	4.299297	4.299297	0.250000	0.250000	0.250000	0.250000	4.401582	
64000	-64.529753	375	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.258687	0.000000	0.258687	0.258687	0.258687	0.258687	0.258687	0.385443	0.107183	0.313460	0.193914	1.914113	
65000	-65.344062	687	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.406315	2.406315	2.406315	2.406315	2.406315	2.406315	2.406315	0.250000	0.250000	0.250000	0.250000	4.644224	
66000	-66.859676	423	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.779317	0.779317	0.779317	0.779317	0.779317	0.779317	0.000000	0.250151	0.250000	0.250000	0.249849	2.154431	
67000	-62.618685	250	2	1	'Z 0 0 0 1 1 1 1 	D	0.000000	1.605019	1.605019	1.605019	7.796363	7.796363	7.796363	7.796363	0.250000	0.250000	0.250000	0.250000	3.251056	
68000	-60.431162	508	1	0	'0 0 0 0 0 0 0 0 	I	0.058672	0.058672	0.058672	0.058672	0.058672	0.058672	0.058672	0.058672	0.431715	0.268901	0.184478	0.114905	1.748061	
69000	-63.872391	963	1	1	'0 0 0 0 0 Z 0 0 	D	0.297715	0.297715	0.297715	0.297715	0.297715	0.000000	0.297715	0.297715	0.250200	0.250932	0.248838	0.250030	2.816427	
70000	-62.242611	987	1	1	'0 0 0 Z 0 0 0 0 	D	0.054936	0.054936	0.054936	0.000000	0.054936	0.054936	0.054936	0.054936	0.377416	0.065255	0.363488	0.193841	0.184382	
71000	-60.058050	117	1	1	'0 0 0 0 0 0 0 Z 	D	0.097807	0.097807	0.097807	0.097807	0.097807	0.097807	0.097807	0.000000	0.353584	0.256713	0.251686	0.138017	6.286837	
72000	-60.195167	318	1	1	'0 0 0 0 Z 0 0 0 	D	0.065101	0.065101	0.065101	0.065101	0.000000	0.065101	0.065101	0.065101	0.530541	0.346100	0.015677	0.107682	2.580274	
73000	-60.671734	227	1	1	'0 0 0 0 0 0 0 Z 	D	0.046369	0.046369	0.046369	0.046369	0.046369	0.046369	0.046369	0.000000	0.487530	0.267007	0.176371	0.069092	1.585833	
74000	-61.329408	948	1	1	'0 0 0 0 Z 0 0 0 	D	0.063124	0.063124	0.063124	0.063124	0.000000	0.063124	0.063124	0.063124	0.600266	0.335477	0.003639	0.060617	3.889857	
75000	-61.088583	234	1	3	'0 0 0 0 Z Z 0 Z 	D	0.070031	0.070031	0.070031	0.070031	0.000000	0.000000	0.070031	0.000000	0.285584	0.485340	0.000000	0.229077	3.458088	
76000	-65.336333	854	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	8.124823	8.124823	8.124823	8.124823	8.124823	8.124823	8.124823	0.250000	0.250000	0.250000	0.250000	2.504333	
77000	-60.563365	889	2	1	'Z 1 1 1 0 0 0 0 	D	0.000000	8.773948	8.773948	8.773948	17.938993	17.938993	17.938993	17.938993	0.250000	0.250000	0.250000	0.250000	14.427435	
78000	-65.343993	714	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	9.297945	9.297945	9.297945	9.297945	9.297945	9.297945	9.297945	0.250000	0.250000	0.250000	0.250000	13.138132	
79000	-60.854598	761	2	2	'Z 0 0 0 1 0 1 Z 	D	0.000000	2.113126	2.113126	2.113126	7.366328	2.113126	7.366328	0.000000	0.250000	0.250000	0.250000	0.250000	2.114781	
80000	-65.378073	401	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.236023	1.236023	1.236023	1.236023	1.236023	1.236023	1.236023	0.250000	0.250000	0.250000	0.250000	0.524051	
81000	-62.445244	125	2	1	'0 0 1 0 1 0 1 Z 	D	0.798187	0.798187	3.817029	0.798187	3.817029	0.798187	3.817029	0.000000	0.250000	0.250000	0.250000	0.250000	7.159688	
82000	-63.562355	410	1	1	'0 0 0 Z 0 0 0 0 	D	0.086650	0.086650	0.086650	0.000000	0.086650	0.086650	0.086650	0.086650	0.355438	0.102310	0.353727	0.188525	2.812416	
83000	-61.018423	975	1	2	'0 0 0 Z 0 0 Z 0 	D	0.061145	0.061145	0.061145	0.000000	0.061145	0.061145	0.000000	0.061145	0.502795	0.060582	0.348085	0.088538	26.458210	
84000	-60.465071	815	1	1	'0 0 0 0 Z 0 0 0 	D	0.062613	0.062613	0.062613	0.062613	0.000000	0.062613	0.062613	0.062613	0.583851	0.327063	0.005908	0.083178	27.219610	
85000	-59.650305	696	1	2	'0 0 0 0 0 0 Z Z 	D	0.074176	0.074176	0.074176	0.074176	0.074176	0.074176	0.000000	0.000000	0.445906	0.295088	0.259005	0.000000	10.358511	
86000	-60.229571	557	1	2	'0 0 0 0 0 0 Z Z 	D	0.051641	0.051641	0.051641	0.051641	0.051641	0.051641	0.000000	0.000000	0.459231	0.289660	0.251108	0.000000	0.292994	
87000	-58.689826	703	1	3	'0 0 0 0 0 Z Z Z 	D	0.096796	0.096796	0.096796	0.096796	0.096796	0.000000	0.000000	0.000000	0.385831	0.471426	0.142742	0.000000	0.306943	
88000	-62.746776	391	1	3	'0 0 0 0 0 Z Z Z 	D	0.052073	0.052073	0.052073	0.052073	0.052073	0.000000	0.000000	0.000000	0.434446	0.539340	0.026214	0.000000	0.210868	
89000	-59.579838	14	1	0	'0 0 0 0 0 0 0 0 	I	0.102941	0.102941	0.102941	0.102941	0.102941	0.102941	0.102941	0.102941	0.380599	0.257413	0.215940	0.146048	4.200032	
90000	-60.120337	715	1	3	'0 0 0 0 0 Z Z Z 	D	0.060375	0.060375	0.060375	0.060375	0.060375	0.000000	0.000000	0.000000	0.458429	0.509441	0.032130	0.000000	0.141871	
91000	-58.875080	568	1	3	'0 0 0 0 0 Z Z Z 	D	0.079031	0.079031	0.079031	0.079031	0.079031	0.000000	0.000000	0.000000	0.387886	0.482984	0.129130	0.000000	1.078336	
92000	-59.083586	951	1	1	'0 0 0 0 0 0 0 Z 	D	0.051559	0.051559	0.051559	0.051559	0.051559	0.051559	0.051559	0.000000	0.413955	0.262412	0.222550	0.101084	2.329028	
93000	-60.380857	67	1	1	'0 0 0 0 0 0 Z 0 	D	0.278435	0.278435	0.278435	0.278435	0.278435	0.278435	0.000000	0.278435	0.259265	0.251702	0.250930	0.238104	7.300283	
94000	-61.187792	876	1	1	'0 0 0 0 Z 0 0 0 	D	0.072081	0.072081	0.072081	0.072081	0.000000	0.072081	0.072081	0.072081	0.501436	0.359711	0.019831	0.119023	8.864291	
95000	-64.090217	106	1	3	'0 0 0 Z 0 0 Z Z 	D	0.110358	0.110358	0.110358	0.000000	0.110358	0.110358	0.000000	0.000000	0.430036	0.155911	0.414054	0.000000	0.326218	
96000	-60.952969	329	1	1	'0 0 0 0 0 0 Z 0 	D	0.048408	0.048408	0.048408	0.048408	0.048408	0.048408	0.000000	0.048408	0.497929	0.322842	0.152118	0.027110	13.874671	
97000	-59.808624	888	1	1	'0 0 0 0 Z 0 0 0 	D	0.083586	0.083586	0.083586	0.083586	0.000000	0.083586	0.083586	0.083586	0.552313	0.337631	0.013094	0.096962	8.902248	
98000	-64.183069	195	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.513370	2.513370	2.513370	2.513370	2.513370	2.513370	2.513370	0.250000	0.250000	0.250000	0.250000	6.403809	
99000	-60.181505	438	2	1	'Z 1 1 1 0 0 0 0 	D	0.000000	0.317926	0.317926	0.317926	0.539900	0.539900	0.539900	0.539900	0.250056	0.249978	0.250002	0.249965	0.810971	
100000	-60.098223	344	1	0	'0 0 0 0 0 0 0 0 	I	0.070779	0.070779	0.070779	0.070779	0.070779	0.070779	0.070779	0.070779	0.338526	0.263921	0.223392	0.174160	10.590125	
101000	-60.468093	435	1	0	'0 0 0 0 0 0 0 0 	I	0.085377	0.085377	0.085377	0.085377	0.085377	0.085377	0.085377	0.085377	0.424288	0.248680	0.206185	0.120847	21.699324	
102000	-59.986695	456	1	2	'0 0 0 0 0 0 Z Z 	D	0.082008	0.082008	0.082008	0.082008	0.082008	0.082008	0.000000	0.000000	0.473299	0.271970	0.254731	0.000000	16.674903	
103000	-61.877196	33	1	2	'0 0 0 0 0 Z 0 Z 	D	0.109741	0.109741	0.109741	0.109741	0.109741	0.000000	0.109741	0.000000	0.365063	0.394751	0.078036	0.162150	8.997594	
104000	-59.844544	322	1	3	'0 0 0 0 0 Z Z Z 	D	0.049295	0.049295	0.049295	0.049295	0.049295	0.000000	0.000000	0.000000	0.429393	0.534259	0.036348	0.000000	21.207415	
105000	-62.305772	962	1	2	'0 0 0 0 0 Z 0 Z 	D	0.151782	0.151782	0.151782	0.151782	0.151782	0.000000	0.151782	0.000000	0.283940	0.306010	0.183808	0.226241	27.742511	
106000	-61.376751	202	1	1	'0 0 0 0 0 Z 0 0 	D	0.046034	0.046034	0.046034	0.046034	0.046034	0.000000	0.046034	0.046034	0.330928	0.480573	0.017713	0.170787	12.766408	
107000	-60.536727	589	1	2	'0 0 0 0 0 Z 0 Z 	D	0.112814	0.112814	0.112814	0.112814	0.112814	0.000000	0.112814	0.000000	0.385593	0.412607	0.052612	0.149187	4.607986	
108000	-60.334604	945	1	1	'0 0 0 0 0 Z 0 0 	D	0.087478	0.087478	0.087478	0.087478	0.087478	0.000000	0.087478	0.087478	0.315500	0.390396	0.080870	0.213234	0.178343	
109000	-60.978907	388	1	0	'0 0 0 0 0 0 0 0 	I	0.071421	0.071421	0.071421	0.071421	0.071421	0.071421	0.071421	0.071421	0.379651	0.259892	0.213978	0.146479	0.445899	
110000	-60.456245	55	1	1	'0 0 0 0 0 Z 0 0 	D	0.078569	0.078569	0.078569	0.078569	0.078569	0.000000	0.078569	0.078569	0.365488	0.403532	0.057817	0.173163	5.242818	
111000	-60.258212	123	1	1	'0 0 0 0 0 0 Z 0 	D	0.105761	0.105761	0.105761	0.105761	0.105761	0.105761	0.000000	0.105761	0.365937	0.275329	0.242012	0.116722	0.437759	
112000	-60.651425	190	1	3	'0 0 0 Z 0 0 Z Z 	D	0.079249	0.079249	0.079249	0.000000	0.079249	0.079249	0.000000	0.000000	0.418291	0.124582	0.457127	0.000000	0.765881	
113000	-59.986382	14	1	1	'0 0 0 0 0 0 0 Z 	D	0.069734	0.069734	0.069734	0.069734	0.069734	0.069734	0.069734	0.000000	0.452740	0.256672	0.208946	0.081642	5.445459	
114000	-61.460460	209	1	1	'0 0 0 0 0 Z 0 0 	D	0.134725	0.134725	0.134725	0.134725	0.134725	0.000000	0.134725	0.134725	0.304926	0.331000	0.149087	0.214987	5.497620	
115000	-60.309317	692	1	1	'0 0 0 0 0 0 0 Z 	D	0.069645	0.069645	0.069645	0.069645	0.069645	0.069645	0.069645	0.000000	0.451749	0.240840	0.228228	0.079183	5.511229	
116000	-59.880998	868	1	1	'0 0 0 0 0 0 Z 0 	D	0.075144	0.075144	0.075144	0.075144	0.075144	0.075144	0.000000	0.075144	0.422562	0.283415	0.219548	0.074476	1.263772	
117000	-60.112832	628	1	1	'0 0 0 0 0 0 Z 0 	D	0.074518	0.074518	0.074518	0.074518	0.074518	0.074518	0.000000	0.074518	0.449086	0.281151	0.208727	0.061036	2.479906	
118000	-62.470036	810	1	1	'0 0 0 0 0 0 0 Z 	D	0.089505	0.089505	0.089505	0.089505	0.089505	0.089505	0.089505	0.000000	0.460455	0.242470	0.226630	0.070446	0.727636	
119000	-59.997926	120	1	1	'0 0 0 0 0 0 Z 0 	D	0.051597	0.051597	0.051597	0.051597	0.051597	0.051597	0.000000	0.051597	0.547850	0.280003	0.149942	0.022205	4.855878	
120000	-60.656804	167	1	2	'0 0 0 0 0 0 Z Z 	D	0.052451	0.052451	0.052451	0.052451	0.052451	0.052451	0.000000	0.000000	0.471239	0.278662	0.250099	0.000000	5.298667	
121000	-60.443312	570	1	3	'0 0 0 0 0 Z Z Z 	D	0.089692	0.089692	0.089692	0.089692	0.089692	0.000000	0.000000	0.000000	0.414876	0.491056	0.094068	0.000000	7.849752	
122000	-60.975976	516	1	2	'0 0 0 0 0 Z 0 Z 	D	0.132458	0.132458	0.132458	0.132458	0.132458	0.000000	0.132458	0.000000	0.338837	0.350885	0.125534	0.184745	17.276516	
123000	-61.413180	820	1	1	'0 0 0 0 0 0 0 Z 	D	0.079382	0.079382	0.079382	0.079382	0.079382	0.079382	0.079382	0.000000	0.443796	0.253564	0.221488	0.081151	27.641427	
124000	-63.822831	558	2	1	'1 1 Z 0 0 0 0 0 	D	0.066714	0.066714	0.000000	1.047468	1.047468	1.047468	1.047468	1.047468	0.204689	0.288425	0.237705	0.269181	43.095113	
125000	-60.376589	383	2	2	'1 Z 0 0 1 Z 0 0 	D	4.610868	0.000000	14.613822	14.613822	4.610868	0.000000	14.613822	14.613822	0.250000	0.250000	0.250000	0.250000	45.877610	
126000	-62.621764	259	2	2	'1 Z 0 0 1 Z 0 0 	D	3.352631	0.000000	19.539531	19.539531	3.352631	0.000000	19.539531	19.539531	0.250000	0.250000	0.250000	0.250000	65.076148	
127000	-60.346819	263	2	2	'1 Z 0 0 1 Z 0 0 	D	19.964814	0.000000	61.930071	61.930071	19.964814	0.000000	61.930071	61.930071	0.250000	0.250000	0.250000	0.250000	62.822950	
