Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_Wax1=0.txt
Log File Name:                   LL1=2_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            254430252
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
47000	-48.331444	498	1	1	'0 0 0 0 0 0 Z 0 	D	0.069264	0.069264	0.069264	0.069264	0.069264	0.069264	0.000000	0.069264	0.425027	0.286701	0.216389	0.071883	5.799498	
48000	-48.331905	301	1	3	'0 0 0 0 0 Z Z Z 	D	0.059010	0.059010	0.059010	0.059010	0.059010	0.000000	0.000000	0.000000	0.461370	0.497431	0.041199	0.000000	2.838077	
49000	-50.792185	602	1	2	'0 0 0 Z 0 0 Z 0 	D	0.049462	0.049462	0.049462	0.000000	0.049462	0.049462	0.000000	0.049462	0.626942	0.054933	0.280354	0.037771	0.321593	
50000	-45.965455	975	1	3	'0 0 0 0 0 Z Z Z 	D	0.032048	0.032048	0.032048	0.032048	0.032048	0.000000	0.000000	0.000000	0.455641	0.534780	0.009579	0.000000	0.243735	
51000	-47.582626	117	1	3	'0 0 0 0 0 Z Z Z 	D	0.077146	0.077146	0.077146	0.077146	0.077146	0.000000	0.000000	0.000000	0.394065	0.516584	0.089351	0.000000	1.089395	
52000	-49.640766	150	1	1	'0 0 0 0 0 Z 0 0 	D	0.202302	0.202302	0.202302	0.202302	0.202302	0.000000	0.202302	0.202302	0.254456	0.263665	0.232085	0.249793	6.027234	
53000	-47.755380	867	2	2	'1 0 0 Z 0 1 Z 1 	D	0.029047	0.056892	0.056892	0.000000	0.056892	0.029047	0.000000	0.029047	0.580352	0.093157	0.286965	0.039526	0.212067	
54000	-48.846933	115	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.120131	0.000000	0.120131	0.120131	0.120131	0.120131	0.120131	0.381044	0.099059	0.322670	0.197227	13.425022	
55000	-48.949886	965	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	0.096013	0.000000	0.000000	0.096013	0.096013	0.096013	0.000000	0.558535	0.000000	0.441465	0.000000	17.693096	
56000	-48.122401	789	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.154613	0.000000	0.154613	0.154613	0.154613	0.154613	0.154613	0.359436	0.110952	0.320428	0.209184	2.699604	
57000	-50.245036	759	1	4	'Z 0 Z Z Z 0 0 0 	D	0.000000	0.066948	0.000000	0.000000	0.000000	0.066948	0.066948	0.066948	1.000000	0.000000	0.000000	0.000000	2.532020	
58000	-48.564119	766	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.111734	0.111734	0.111734	0.111734	0.111734	0.111734	0.000000	0.190621	0.331697	0.223621	0.254062	30.877184	
59000	-47.831724	550	1	1	'0 0 0 0 0 0 Z 0 	D	0.048308	0.048308	0.048308	0.048308	0.048308	0.048308	0.000000	0.048308	0.482188	0.307408	0.173005	0.037399	19.599587	
60000	-48.352323	446	1	4	'0 0 Z 0 0 Z Z Z 	D	0.052902	0.052902	0.000000	0.052902	0.052902	0.000000	0.000000	0.000000	0.961581	0.000000	0.038419	0.000000	38.855363	
61000	-45.513322	788	1	2	'0 0 0 0 0 Z 0 Z 	D	0.136528	0.136528	0.136528	0.136528	0.136528	0.000000	0.136528	0.000000	0.270306	0.321462	0.155897	0.252334	38.700184	
62000	-47.303373	98	1	3	'0 0 0 0 Z Z 0 Z 	D	0.120835	0.120835	0.120835	0.120835	0.000000	0.000000	0.120835	0.000000	0.215260	0.423329	0.000000	0.361411	25.288695	
63000	-50.241733	364	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.265474	0.000000	0.265474	0.265474	0.265474	0.265474	0.265474	0.390683	0.103075	0.314302	0.191940	22.551182	
64000	-50.570504	666	1	4	'Z 0 Z Z Z 0 0 0 	D	0.000000	0.086907	0.000000	0.000000	0.000000	0.086907	0.086907	0.086907	1.000000	0.000000	0.000000	0.000000	18.385382	
65000	-47.744583	620	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.129372	0.129372	0.129372	0.129372	0.129372	0.129372	0.000000	0.265841	0.295033	0.250379	0.188746	14.307486	
66000	-46.478274	722	1	3	'0 0 0 0 0 Z Z Z 	D	0.052836	0.052836	0.052836	0.052836	0.052836	0.000000	0.000000	0.000000	0.405753	0.562836	0.031410	0.000000	1.104432	
67000	-48.164100	600	1	2	'0 0 0 0 0 Z 0 Z 	D	0.199184	0.199184	0.199184	0.199184	0.199184	0.000000	0.199184	0.000000	0.230430	0.302738	0.155494	0.311338	10.640981	
68000	-47.189504	86	1	3	'0 0 0 0 0 Z Z Z 	D	0.042977	0.042977	0.042977	0.042977	0.042977	0.000000	0.000000	0.000000	0.410380	0.574124	0.015496	0.000000	12.909958	
69000	-47.218249	568	1	0	'0 0 0 0 0 0 0 0 	I	0.044547	0.044547	0.044547	0.044547	0.044547	0.044547	0.044547	0.044547	0.372455	0.262747	0.213902	0.150896	25.765816	
70000	-49.806099	706	1	2	'0 0 0 Z 0 0 Z 0 	D	0.055000	0.055000	0.055000	0.000000	0.055000	0.055000	0.000000	0.055000	0.458704	0.081089	0.355481	0.104726	8.588445	
71000	-47.195656	295	1	2	'0 0 0 0 0 Z 0 Z 	D	0.058233	0.058233	0.058233	0.058233	0.058233	0.000000	0.058233	0.000000	0.328114	0.436525	0.033781	0.201579	0.159009	
72000	-48.215964	357	1	3	'0 0 0 0 0 Z Z Z 	D	0.059724	0.059724	0.059724	0.059724	0.059724	0.000000	0.000000	0.000000	0.400293	0.563521	0.036186	0.000000	10.490420	
73000	-47.410333	724	1	0	'0 0 0 0 0 0 0 0 	I	0.041731	0.041731	0.041731	0.041731	0.041731	0.041731	0.041731	0.041731	0.484942	0.255970	0.169578	0.089509	30.002936	
74000	-50.455800	939	1	1	'0 0 0 0 0 0 Z 0 	D	0.100975	0.100975	0.100975	0.100975	0.100975	0.100975	0.000000	0.100975	0.426628	0.267268	0.226801	0.079303	12.783213	
75000	-47.161973	453	1	4	'0 0 Z 0 0 Z Z Z 	D	0.042350	0.042350	0.000000	0.042350	0.042350	0.000000	0.000000	0.000000	0.966552	0.000000	0.033448	0.000000	8.222072	
76000	-46.204838	67	1	3	'0 0 0 0 0 Z Z Z 	D	0.150537	0.150537	0.150537	0.150537	0.150537	0.000000	0.000000	0.000000	0.368585	0.385510	0.245905	0.000000	1.310777	
77000	-48.344592	468	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	0.147418	0.000000	0.147418	0.147418	0.147418	0.147418	0.147418	0.433762	0.066733	0.330454	0.169051	1.670861	
78000	-47.014537	184	1	2	'0 0 0 0 0 0 Z Z 	D	0.051043	0.051043	0.051043	0.051043	0.051043	0.051043	0.000000	0.000000	0.444337	0.335907	0.219756	0.000000	1.259983	
79000	-48.282739	993	1	2	'0 0 0 0 0 Z 0 Z 	D	0.047937	0.047937	0.047937	0.047937	0.047937	0.000000	0.047937	0.000000	0.402874	0.458905	0.018111	0.120109	6.697050	
80000	-47.927779	305	1	2	'0 0 0 0 0 0 Z Z 	D	0.046828	0.046828	0.046828	0.046828	0.046828	0.046828	0.000000	0.000000	0.503982	0.323468	0.172550	0.000000	2.425922	
81000	-45.338471	788	1	2	'0 0 0 0 0 Z 0 Z 	D	0.172712	0.172712	0.172712	0.172712	0.172712	0.000000	0.172712	0.000000	0.265054	0.289330	0.199110	0.246506	0.483837	
82000	-45.859941	371	1	2	'0 0 0 0 0 Z 0 Z 	D	0.211959	0.211959	0.211959	0.211959	0.211959	0.000000	0.211959	0.000000	0.257290	0.273394	0.217639	0.251677	9.950131	
83000	-48.763905	454	1	3	'0 0 0 0 Z Z 0 Z 	D	0.034943	0.034943	0.034943	0.034943	0.000000	0.000000	0.034943	0.000000	0.405985	0.473079	0.000000	0.120937	2.391352	
