Options:
Model:                           Discrete: Independent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=0_LA1=2.txt
Log File Name:                   LL1=0_LA1=2.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2334803224
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=0_LA1=2.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
137000	-61.167937	520	2	0	'1 0 0 0 	31.669294	98.127639	98.127639	98.127639	0.250000	0.250000	0.250000	0.250000	93.920055	
138000	-59.723239	74	2	0	'1 0 1 1 	10.333110	48.677190	10.333110	10.333110	0.250000	0.250000	0.250000	0.250000	91.677052	
139000	-59.611169	90	2	0	'1 0 1 1 	2.084205	10.794480	2.084205	2.084205	0.250000	0.250000	0.250000	0.250000	79.154889	
140000	-61.475340	693	2	0	'1 0 1 1 	17.879434	52.487635	17.879434	17.879434	0.250000	0.250000	0.250000	0.250000	89.503417	
141000	-60.847942	330	2	0	'1 0 1 1 	4.751465	54.399260	4.751465	4.751465	0.250000	0.250000	0.250000	0.250000	77.607234	
142000	-59.566247	601	2	0	'1 0 1 1 	9.232282	50.415458	9.232282	9.232282	0.250000	0.250000	0.250000	0.250000	64.172820	
143000	-59.593317	487	2	0	'1 0 1 1 	3.066255	17.680394	3.066255	3.066255	0.250000	0.250000	0.250000	0.250000	36.274948	
144000	-59.712648	522	2	0	'1 0 1 1 	4.457730	32.819300	4.457730	4.457730	0.250000	0.250000	0.250000	0.250000	53.459765	
145000	-59.554700	783	2	0	'1 0 1 1 	5.184141	31.879102	5.184141	5.184141	0.250000	0.250000	0.250000	0.250000	59.321906	
146000	-59.565644	703	2	0	'1 0 1 1 	10.445663	57.109124	10.445663	10.445663	0.250000	0.250000	0.250000	0.250000	65.718460	
147000	-59.551889	64	2	0	'1 0 1 1 	1.883875	11.485134	1.883875	1.883875	0.250000	0.250000	0.250000	0.250000	66.965999	
148000	-59.824548	94	2	0	'1 0 1 1 	5.329015	23.766765	5.329015	5.329015	0.250000	0.250000	0.250000	0.250000	71.434668	
149000	-60.949189	258	2	0	'1 0 1 1 	9.097777	29.502628	9.097777	9.097777	0.250000	0.250000	0.250000	0.250000	87.579257	
150000	-59.682681	337	2	0	'1 0 0 0 	0.921969	6.639771	6.639771	6.639771	0.250000	0.250000	0.250000	0.250000	98.742187	
151000	-59.874273	379	2	0	'1 0 0 0 	6.502463	52.669690	52.669690	52.669690	0.250000	0.250000	0.250000	0.250000	90.116134	
152000	-59.870006	365	2	0	'0 1 1 1 	4.902888	39.626414	39.626414	39.626414	0.250000	0.250000	0.250000	0.250000	68.326500	
153000	-60.879805	957	2	0	'0 1 1 1 	17.341399	56.830253	56.830253	56.830253	0.250000	0.250000	0.250000	0.250000	55.217998	
154000	-61.491941	944	2	0	'0 1 1 1 	6.902707	20.207793	20.207793	20.207793	0.250000	0.250000	0.250000	0.250000	34.625141	
155000	-59.559581	861	2	0	'0 1 1 1 	10.152994	63.304566	63.304566	63.304566	0.250000	0.250000	0.250000	0.250000	39.823616	
156000	-59.564328	844	2	0	'0 1 1 1 	3.731761	20.456799	20.456799	20.456799	0.250000	0.250000	0.250000	0.250000	39.057936	
157000	-61.663944	74	2	0	'0 1 1 1 	5.371626	15.291836	15.291836	15.291836	0.250000	0.250000	0.250000	0.250000	50.348109	
158000	-60.142773	694	2	0	'0 1 1 1 	8.608831	78.506465	78.506465	78.506465	0.250000	0.250000	0.250000	0.250000	51.643114	
159000	-59.953004	218	2	0	'0 1 1 1 	8.857584	37.362847	37.362847	37.362847	0.250000	0.250000	0.250000	0.250000	45.855272	
160000	-59.662552	785	2	0	'0 1 1 1 	9.484425	67.209726	67.209726	67.209726	0.250000	0.250000	0.250000	0.250000	38.680370	
161000	-59.568354	29	2	0	'0 1 1 1 	11.370238	61.842687	61.842687	61.842687	0.250000	0.250000	0.250000	0.250000	31.579497	
162000	-59.696850	535	2	0	'0 1 1 1 	2.267299	10.862512	10.862512	10.862512	0.250000	0.250000	0.250000	0.250000	27.948168	
163000	-59.683510	893	2	0	'0 1 1 1 	0.737218	5.312641	5.312641	5.312641	0.250000	0.250000	0.250000	0.250000	4.152985	
164000	-59.552348	390	2	0	'0 1 1 1 	2.661775	16.229974	16.229974	16.229974	0.250000	0.250000	0.250000	0.250000	7.014484	
165000	-59.667784	328	2	0	'0 1 1 1 	2.560726	18.224750	18.224750	18.224750	0.250000	0.250000	0.250000	0.250000	4.255764	
166000	-59.625018	131	2	0	'0 1 1 1 	0.734765	3.723463	3.723463	3.723463	0.250000	0.250000	0.250000	0.250000	3.514634	
167000	-59.568916	589	2	0	'0 1 1 1 	3.765149	23.953263	23.953263	23.953263	0.250000	0.250000	0.250000	0.250000	14.706187	
168000	-59.555737	590	2	0	'0 1 1 1 	7.133415	39.930999	39.930999	39.930999	0.250000	0.250000	0.250000	0.250000	25.021117	
169000	-59.590958	929	2	0	'0 1 1 1 	4.531328	23.822509	23.822509	23.822509	0.250000	0.250000	0.250000	0.250000	27.087888	
170000	-59.717738	627	2	0	'0 1 1 1 	8.162213	60.306732	60.306732	60.306732	0.250000	0.250000	0.250000	0.250000	30.183097	
171000	-59.886605	298	2	0	'0 1 1 1 	11.098172	48.114529	48.114529	48.114529	0.250000	0.250000	0.250000	0.250000	29.561473	
172000	-59.713167	555	2	0	'0 1 1 1 	20.368628	96.556123	96.556123	96.556123	0.250000	0.250000	0.250000	0.250000	48.641748	
173000	-61.851230	764	2	0	'0 1 1 1 	22.154521	61.264609	61.264609	61.264609	0.250000	0.250000	0.250000	0.250000	51.487071	
174000	-59.547657	760	2	0	'0 1 1 1 	5.968612	35.079494	35.079494	35.079494	0.250000	0.250000	0.250000	0.250000	36.632424	
175000	-60.511354	644	2	0	'0 1 1 1 	8.951358	31.862484	31.862484	31.862484	0.250000	0.250000	0.250000	0.250000	45.614500	
176000	-59.566950	519	2	0	'0 1 1 1 	6.503523	41.217283	41.217283	41.217283	0.250000	0.250000	0.250000	0.250000	50.230798	
177000	-60.034079	169	2	0	'0 1 1 1 	3.238359	28.252641	28.252641	28.252641	0.250000	0.250000	0.250000	0.250000	68.573648	
178000	-59.772233	446	2	0	'0 1 1 1 	4.296967	32.888516	32.888516	32.888516	0.250000	0.250000	0.250000	0.250000	59.889061	
179000	-59.675847	957	2	0	'0 1 1 1 	3.191092	22.858842	22.858842	22.858842	0.250000	0.250000	0.250000	0.250000	43.947379	
180000	-59.549889	627	2	0	'0 1 1 1 	10.009701	57.327448	57.327448	57.327448	0.250000	0.250000	0.250000	0.250000	32.910609	
